01	18	55
01	18	60
01	38	00
01	38	05
01	38	10
01	38	15
01	38	20
01	38	25
01	38	30
01	38	35
01	38	40
01	38	45
01	38	50
01	38	55
01	38	60
02	20	00
02	20	5
02	20	10
02	20	15
02	20	20
02	20	25
02	20	30
02	20	35
02	20	40
02	20	45
02	20	50
02	20	55
02	20	60
02	55	00
02	55	05
02	55	10
02	55	15
02	55	20
02	55	25
02	55	30
02	55	35
02	55	40
02	55	45
02	55	50
02	55	55
02	55	60
03	28	00
03	28	05
03	28	10
03	28	15
03	28	20
03	28	25
03	28	30
03	28	35
03	28	40
03	28	45
03	28	50
03	28	55
03	28	60
04	11	00
04	11	05
04	11	10
04	11	15
04	11	20
04	11	25
04	11	30
04	11	35
04	11	40
04	11	45
04	11	50
04	11	55
04	11	60
05	23	00
05	23	05
05	23	10
05	23	15
05	23	20
05	23	25
05	23	30
05	23	35
05	23	40
05	23	45
05	23	50
05	23	55
05	23	60
06	23	00
06	23	05
06	23	10
06	23	15
06	23	20
06	29	25
06	29	30
06	29	35
06	29	40
06	29	45
06	29	50
06	29	55
06	29	60
07	11	00
07	11	05
07	11	10
07	11	15
07	11	20
07	11	25
07	11	30
07	24	35
07	24	40
07	24	45
07	24	50
07	24	55
07	24	60
08	11	00
08	11	05
08	11	10
08	11	15
08	11	20
08	11	25
08	11	30
08	24	35
08	24	40
08	24	45
08	24	50
08	24	55
08	24	60
09	32	00
09	32	05
09	32	10
09	32	15
09	45	20
09	45	25
09	45	30
09	45	35
09	45	40
09	45	45
09	45	50
09	45	55
09	45	60
10	57	00
10	57	05
10	57	10
10	57	15
10	57	20
10	57	25
10	57	30
10	57	35
10	57	40
10	59	45
10	59	50
10	59	55
10	59	60
11	57	00
11	57	05
11	57	10
11	57	15
11	57	20
11	57	25
11	57	30
11	57	35
11	57	40
11	59	45
11	59	50
11	59	55
11	59	60
12	22	00
12	22	05
12	22	10
12	22	15
12	22	20
12	22	25
12	36	30
12	36	35
12	36	40
12	36	45
12	36	50
12	36	55
12	36	60







